tree_name,scientific_name,family_name
Alim,Trema orientalis,Euphorbiaceae
Almaciga,Agathis philippinensis,Araucariaceae
Amamali,Leea aculeata,Vitaceae
Amugis,Koordersiodendron pinnatum,Anacardiaceae
Anabiong,Trema orientalis,Cannabaceae
Antipolo,Artocarpus blancoi,Moraceae
Anubing,Artocarpus ovatus,Moraceae
Bagalunga,Melia dubia,Meliaceae
Bahai,Ormosia calavensis,Fabaceae
Balinghasai,Buchanania arborescens,Anacardiaceae
Balobo,Diplodiscus paniculatus,Malvaceae
Banaba,Lagerstroemia speciosa,Lythraceae
Banato,Mallotus philippensis,Euphorbiaceae
Bangkal,Nauclea orientalis,Rubiaceae
Bignai,Antidesma bunius,Phyllantaceae
Binayuyu,Antidesma ghaesambilla,Phyllantaceae
Binuang,Octomeles sumatrana,Tetramelaceae
Bolong-eta,Diospyros pilosanthera,Ebenaceae
Dao,Dracontomelon dao,Anacardiaceae
Dita,Alstonia scholaris,Apocynaceae
Duhat,Syzygium cumini,Myrtaceae
Dungon-late,Heritiera littoralis,Malvaceae
Guijo,Shorea guiso,Dipterocarpaceae
Hairy-leafed apitong,Dipterocarpus alatus,Dipterocarpaceae
Himbabao,Broussonetia luzonica,Moraceae
Ipil,Instia bijuga,Fabaceae
Kalantas,Toona calantas,Meliaceae
Kalios,Sterblus asper,Moraceae
Kalubkob,Syzygium calubcob,Myrtaceae
Kalumpit,Terminalia microcarpa,Combretaceae
Kamagong / Mabolo,Diospyros blancoi,Ebenaceae
Kapulasan,Nephelium ramboutan-ake,Sapindaceae
Katmon,Dillenia philippinensis,Dilleniaceae
Katong matsing,Chisocheton pentandrus,Meliaceae
Kupang,Parkia roxburghii,Fabaceae
Magabuyo,Celtis luzonica,Cannabaceae
Malak-Malak,Palaquium philippense,Sapotaceae
Malapapaya,Polyscias nodosa,Araliaceae
Manalu,Semecarpus longifolius,Anacardiaceae
Mayapis,Shorea palosapis,Dipterocarpaceae
Molave,Vitex parviflora,Verbenaceae
Narra,Pterocarpus indicus,Fabaceae
Panglomboien,Syzygium simile,Myrtaceae
Piling liitan,Canarium luzonicum,Burseraceae
Rarang,Erythrina subumbrans,Fabaceae
Rimas,Artocarpus altilis,Moraceae
Salingogon,Cratoxylum formosum,Clusiaceae
Tagotoi,Palaquium foxworthyi,Sapotaceae
Tanguile,Shorea polysperma,Dipterocarpaceae
Tuai,Bischofia javanica,Phyllanthaceae
White lauan,Shorea contorta,Dipterocarpaceae
